# Directed graph (each unordered pair of nodes is saved once): roadNet-CA.txt 
# Sample California road network
# Nodes: 1965206 Edges: 5533214
# FromNodeId	ToNodeId
0	1
0	2
0	469
1	0
1	6
1	385
2	0
2	3
469	0
469	380
469	37415
6	1
6	5
385	1
385	384
385	386
3	2
3	4
3	419
3	422
4	3
4	5
4	98
4	420
419	3
419	420
419	35698
422	3
422	183
422	423
422	37415
5	4
5	6
5	98
98	4
98	5
98	470
98	35729
420	4
420	419
420	35709
7	8
7	9
7	79
8	7
8	33
9	7
9	10
9	84
79	7
79	78
79	119
33	8
33	32
33	34
10	9
10	11
10	84
10	110
84	9
84	10
84	83
84	85
11	10
11	12
11	110
110	10
110	11
110	111
110	112
12	11
12	13
12	95
12	108
13	12
13	14
13	94
13	95
108	12
108	109
108	113
108	123
95	12
95	13
95	96
14	13
14	15
14	16
14	77
94	13
94	77
94	93
15	14
16	14
16	17
77	14
77	17
77	94
17	16
17	18
17	77
17	3254
18	17
18	19
18	3254
3254	17
3254	18
3254	3255
3254	36971
19	18
19	20
19	23
20	19
20	21
20	22
23	19
23	24
23	25
21	20
22	20
24	23
25	23
25	26
25	27
26	25
27	25
27	28
27	29
28	27
29	27
29	30
29	3255
30	29
30	31
30	3247
30	3253
3255	29
3255	3253
3255	3254
3255	35943
31	30
31	32
31	3246
3247	30
3247	3248
3247	3249
3253	30
3253	3204
3253	3255
3253	35950
32	31
32	33
32	2203
3246	31
3246	2203
3246	3252
3246	3257
2203	32
2203	2146
2203	2204
2203	3246
34	33
35	36
35	50
35	1199
36	35
36	37
36	35885
36	1645159
50	35
50	49
50	185
1199	35
1199	1198
1199	1205
37	36
37	38
37	1641586
35885	36
35885	35884
35885	1645157
1645159	36
1645159	1645156
1645159	1645157
1645159	1648644
38	37
38	39
38	1641586
1641586	37
1641586	38
1641586	1633418
39	38
39	40
39	1641587
40	39
40	41
40	1641577
1641587	39
1641587	1633418
1641587	1641576
1641587	1641606
41	40
41	42
41	1641355
1641577	40
1641577	1641363
1641577	1641576
42	41
42	43
42	1639779
1641355	41
1641355	1628954
1641355	1639780
1641355	1641363
43	42
43	44
43	1639779
1639779	42
1639779	43
1639779	1639780
44	43
44	45
44	1542024
45	44
45	46
45	1154
45	1538392
1542024	44
1542024	1542023
1542024	1639781
46	45
46	47
46	27108
46	27325
1154	45
1154	1153
1154	1155
1538392	45
1538392	1538362
1538392	1538390
1538392	1538391
47	46
47	48
47	27325
27108	46
27108	27107
27108	27250
27325	46
27325	47
27325	27323
27325	27335
48	47
48	49
48	27343
49	48
49	50
49	184
27343	48
27343	27342
27343	35887
27343	39411
184	49
184	185
184	35886
185	50
185	184
185	1198
52	53
52	54
52	4152
53	52
53	54
53	223
53	225
54	52
54	53
54	4120
4152	52
4152	4148
4152	4153
4152	4156
223	53
223	224
223	3937
223	4113
225	53
225	224
225	4114
225	4148
4120	54
4120	3937
4120	4153
4120	4154
55	56
55	57
55	1068
55	1099
56	55
56	76
56	1069
57	55
57	58
57	1071
57	1072
1068	55
1068	1069
1068	1096
1068	1116
1068	36235
1099	55
76	56
76	74
76	1075
1069	56
1069	1068
1069	1116
58	57
58	59
58	1089
58	32419
1072	57
1072	1070
1072	32419
1071	57
1071	1070
1071	1098
1071	1110
59	58
59	60
59	61
59	62
1089	58
1089	62
1089	171
1089	172
32419	58
32419	1072
60	59
61	59
62	59
62	63
62	1089
63	62
63	64
63	339
64	63
64	65
64	2220
339	63
339	338
339	341
339	36187
65	64
65	66
65	2155
65	2157
2220	64
2220	2219
2220	2221
66	65
66	67
66	68
66	2254
2155	65
2155	2156
2155	2254
2157	65
2157	2158
2157	2161
2157	2219
67	66
68	66
68	69
68	70
68	2251
2254	66
2254	2155
2254	2252
69	68
70	68
70	71
70	1052
70	2251
2251	68
2251	70
2251	2252
71	70
71	72
71	1049
1052	70
1052	1050
1052	2256
1052	2258
72	71
72	73
72	74
